root_id,cell_type
720575941512037330,LAL154
720575941512103184,Mi4
720575941512127760,L2
720575941512318480,LC10c
720575941512471506,T1
720575941512580306,LHAV2g5
720575941512962258,LAL113
720575941512991954,LAL090
720575941512991954,LAL153
720575941513218769,LC21
720575941513218769,R7
720575941513257548,L5
720575941513569233,R8
720575941513907971,LCe01b
720575941513952867,L5
720575941514088185,R8
720575941514344401,L4
720575941514383569,L2
720575941514557393,L4
720575941514715089,L4
720575941514728913,L4
720575941514850124,L5
720575941514968909,L5
720575941515077722,vDeltaA_a
720575941515077722,vDeltaD
720575941515091020,LHAV2k6
720575941515091020,LHAV3a1
720575941515131724,v2LN49
720575941515140049,L2
720575941515186435,L5
720575941515229516,Mi15
720575941515418444,L2
720575941515570508,T1
720575941516083011,L5
720575941516169107,L1
720575941516265571,L5
720575941516328035,L5
720575941516414019,L5
720575941516463251,R8
720575941516537923,L4
720575941516610883,Mi1
720575941516619331,L5
720575941516657401,T1
720575941516743683,R7
720575941516826723,L3
720575941516829283,L2
720575941516865795,L5
720575941516868963,R8
720575941516878851,L5
720575941516975203,L5
720575941516992771,R7
720575941517041763,L1
720575941517100793,R8
720575941517108227,L2
720575941517175130,LHAV2a3a
720575941517240569,LC36
720575941517291667,T1
720575941517408505,R8
720575941517477036,vDeltaB
720575941517477036,vDeltaD
720575941517639161,LHAV2k6
720575941517705209,LC20b
720575941517731674,LAL183
720575941517731674,LAL192
720575941517812217,PLP155
720575941518070675,L3
720575941518230675,L2
720575941518396563,L4
720575941518478995,LAL186
720575941518478995,LHAD2c1
720575941518576019,LC20a
720575941519041390,T1
720575941519579308,R8
720575941519711148,LAL179b
720575941519816876,LC9
720575941519816876,T1
720575941520025004,L3
720575941520036012,R8
720575941520134316,LC10c
720575941520275635,v2LN32
720575941520275635,v2LNX01
720575941520437164,R8
720575941520474796,LHAD2c1
720575941520555886,LAL187
720575941520573912,L4
720575941520602990,L1
720575941520637806,R7
720575941520769240,L2
720575941520799086,L2
720575941520917614,L4
720575941520926318,L5
720575941521116888,LHAD2e3
